"cluster_a","cluster_b","cluster_a_name","cluster_b_name","test_stat","p_selective","p_naive","time_sec","selective_sig_05","naive_sig_05"
1,2,"global_1","global_2",9.5080376343757,0.00376147304123577,0,61.0907509326935,TRUE,TRUE
1,3,"global_1","global_3",7.41954198169338,0.0100387253068336,0,57.4391748905182,TRUE,TRUE
2,4,"global_2","global_4",6.93033379945383,0.0388301116311002,0,53.3835740089417,TRUE,TRUE
1,4,"global_1","global_4",7.14417169787703,0.106470441363121,0,52.3579940795898,FALSE,TRUE
3,4,"global_3","global_4",4.87309971388231,0.220940077836236,0,73.9707760810852,FALSE,TRUE
2,3,"global_2","global_3",8.80670578938122,0.499976609251441,0,60.830472946167,FALSE,TRUE
